"id","num_wave_voted","num_bi_switch","bi_switch_ratio","bi_ifswitch"
1142,9,0,0,0
1143,12,0,0,0
1144,10,3,0.333333333333333,1
1145,8,0,0,0
1146,11,0,0,0
1147,11,1,0.1,1
1148,4,0,0,0
1149,2,0,0,0
1150,6,0,0,0
1151,7,0,0,0
1152,9,0,0,0
1153,6,0,0,0
1154,11,0,0,0
1155,5,0,0,0
1156,12,0,0,0
1157,10,0,0,0
1158,2,0,0,0
1159,8,0,0,0
1160,5,0,0,0
1161,7,1,0.166666666666667,1
1162,9,2,0.25,1
1163,8,0,0,0
1164,11,0,0,0
1165,12,3,0.272727272727273,1
1166,6,0,0,0
1167,10,2,0.222222222222222,1
1168,6,0,0,0
1169,8,0,0,0
1170,3,0,0,0
1171,10,0,0,0
1172,9,0,0,0
1173,1,0,0,0
1174,6,0,0,0
1175,5,0,0,0
1176,11,0,0,0
1177,10,2,0.222222222222222,1
1178,6,0,0,0
1179,8,0,0,0
1180,12,1,0.0909090909090909,1
1181,11,0,0,0
1182,12,0,0,0
1183,7,0,0,0
1184,12,0,0,0
1185,4,0,0,0
1186,2,0,0,0
1187,1,0,0,0
1188,8,0,0,0
1189,5,0,0,0
1190,1,0,0,0
1191,9,2,0.25,1
1192,11,1,0.1,1
1193,12,0,0,0
1194,12,0,0,0
1195,1,0,0,0
1196,5,0,0,0
1197,4,1,0.333333333333333,1
1198,9,1,0.125,1
1199,11,1,0.1,1
1200,11,0,0,0
1201,7,0,0,0
1202,3,0,0,0
1203,7,0,0,0
1204,12,0,0,0
1205,7,0,0,0
1206,2,0,0,0
1207,12,0,0,0
1208,12,1,0.0909090909090909,1
1209,11,3,0.3,1
1210,7,1,0.166666666666667,1
1211,12,0,0,0
1212,9,0,0,0
1213,12,1,0.0909090909090909,1
1214,2,0,0,0
1215,11,0,0,0
1216,6,0,0,0
1217,12,0,0,0
1218,12,0,0,0
1219,7,0,0,0
1220,8,0,0,0
1221,12,0,0,0
1222,4,0,0,0
1223,11,0,0,0
