"","id","num_wave_present","num_switch","switch_ratio","ifswitch"
"38705",39566,10,3,0.3,1
"38706",39567,10,0,0,0
"38707",39568,10,2,0.2,1
"38708",39569,10,0,0,0
"38709",39570,6,0,0,0
"38710",39571,6,1,0.166666666666667,1
"38711",39572,9,3,0.333333333333333,1
"38712",39573,9,0,0,0
"38713",39574,4,1,0.25,1
"38714",39575,10,1,0.1,1
"38715",39576,4,1,0.25,1
"38716",39577,1,0,0,0
"38717",39578,3,0,0,0
"38718",39579,6,2,0.333333333333333,1
"38719",39580,2,0,0,0
"38720",39581,3,0,0,0
"38721",39582,3,0,0,0
"38722",39583,7,1,0.142857142857143,1
"38723",39584,3,1,0.333333333333333,1
"38724",39585,5,0,0,0
"38725",39586,6,1,0.166666666666667,1
"38726",39587,7,0,0,0
"38727",39588,5,0,0,0
"38728",39589,10,1,0.1,1
"38729",39590,4,0,0,0
"38730",39591,9,2,0.222222222222222,1
"38731",39592,3,0,0,0
"38732",39593,6,1,0.166666666666667,1
"38733",39594,10,4,0.4,1
"38734",39595,7,0,0,0
"38735",39596,10,1,0.1,1
"38736",39597,2,0,0,0
"38737",39598,8,2,0.25,1
"38738",39599,3,1,0.333333333333333,1
"38739",39600,3,0,0,0
"38740",39601,10,0,0,0
"38741",39602,4,2,0.5,1
"38742",39603,3,0,0,0
"38743",39604,2,0,0,0
"38744",39605,3,1,0.333333333333333,1
"38745",39606,5,0,0,0
"38746",39607,8,3,0.375,1
"38747",39608,10,0,0,0
"38748",39609,3,1,0.333333333333333,1
"38749",39610,8,0,0,0
"38750",39611,9,0,0,0
"38751",39612,9,1,0.111111111111111,1
"38752",39613,4,0,0,0
"38753",39614,2,0,0,0
"38754",39615,3,0,0,0
"38755",39616,3,0,0,0
"38756",39617,5,0,0,0
"38757",39618,9,0,0,0
"38758",39619,9,4,0.444444444444444,1
"38759",39620,2,0,0,0
"38760",39621,4,0,0,0
"38761",39622,7,0,0,0
"38762",39623,9,0,0,0
"38763",39624,7,0,0,0
"38764",39625,5,1,0.2,1
"38765",39626,4,1,0.25,1
"38766",39627,8,0,0,0
"38767",39628,1,0,0,0
"38768",39629,1,0,0,0
"38769",39630,4,1,0.25,1
"38770",39631,6,0,0,0
"38771",39632,1,0,0,0
"38772",39633,4,0,0,0
"38773",39634,1,0,0,0
"38774",39635,5,2,0.4,1
"38775",39636,6,2,0.333333333333333,1
"38776",39637,4,0,0,0
"38777",39638,4,0,0,0
"38778",39639,2,0,0,0
"38779",39640,3,0,0,0
"38780",39641,4,2,0.5,1
"38781",39642,3,0,0,0
"38782",39643,6,1,0.166666666666667,1
"38783",39644,4,0,0,0
"38784",39645,10,0,0,0
"38785",39646,5,3,0.6,1
"38786",39647,10,0,0,0
"38787",39648,9,2,0.222222222222222,1
"38788",39649,7,0,0,0
"38789",39650,9,3,0.333333333333333,1
"38790",39651,10,1,0.1,1
"38791",39652,8,0,0,0
"38792",39653,2,0,0,0
"38793",39654,10,3,0.3,1
"38794",39655,8,1,0.125,1
"38795",39656,7,0,0,0
"38796",39657,1,0,0,0
"38797",39658,2,0,0,0
"38798",39659,9,0,0,0
"38799",39660,8,3,0.375,1
"38800",39661,9,3,0.333333333333333,1
"38801",39662,6,0,0,0
"38802",39663,10,2,0.2,1
"38803",39664,7,2,0.285714285714286,1
"38804",39665,5,0,0,0
"38805",39666,2,0,0,0
"38806",39667,10,0,0,0
"38807",39668,3,1,0.333333333333333,1
"38808",39669,7,2,0.285714285714286,1
"38809",39670,10,1,0.1,1
"38810",39671,10,0,0,0
"38811",39672,2,0,0,0
"38812",39673,3,0,0,0
"38813",39674,9,0,0,0
"38814",39675,3,0,0,0
"38815",39676,3,0,0,0
"38816",39677,4,0,0,0
"38817",39678,7,0,0,0
"38818",39679,4,2,0.5,1
"38819",39680,6,1,0.166666666666667,1
"38820",39681,10,5,0.5,1
"38821",39682,10,2,0.2,1
"38822",39683,4,1,0.25,1
"38823",39684,4,0,0,0
"38824",39685,3,0,0,0
"38825",39686,10,0,0,0
"38826",39687,10,0,0,0
"38827",39688,2,0,0,0
"38828",39689,7,0,0,0
"38829",39690,10,0,0,0
"38830",39691,6,0,0,0
"38831",39692,5,2,0.4,1
"38832",39693,1,0,0,0
"38833",39694,7,2,0.285714285714286,1
"38834",39695,2,0,0,0
"38835",39696,10,0,0,0
"38836",39697,2,0,0,0
"38837",39698,3,0,0,0
"38838",39699,4,0,0,0
"38839",39700,1,0,0,0
"38840",39701,4,0,0,0
"38841",39702,2,0,0,0
"38842",39703,10,0,0,0
"38843",39704,4,1,0.25,1
"38844",39705,3,0,0,0
"38845",39706,9,1,0.111111111111111,1
"38846",39707,4,1,0.25,1
"38847",39708,1,0,0,0
"38848",39709,2,0,0,0
"38849",39710,10,0,0,0
"38850",39711,2,0,0,0
"38851",39712,1,0,0,0
"38852",39713,10,0,0,0
"38853",39714,9,0,0,0
"38854",39715,1,0,0,0
"38855",39716,3,0,0,0
"38856",39717,9,0,0,0
"38857",39718,9,0,0,0
"38858",39719,8,2,0.25,1
"38859",39720,10,0,0,0
"38860",39721,2,0,0,0
"38861",39722,1,0,0,0
"38862",39723,5,3,0.6,1
"38863",39724,8,0,0,0
"38864",39725,9,3,0.333333333333333,1
"38865",39726,2,0,0,0
"38866",39727,6,3,0.5,1
"38867",39728,5,0,0,0
"38868",39729,3,0,0,0
"38869",39730,10,4,0.4,1
"38870",39731,3,0,0,0
"38871",39732,7,2,0.285714285714286,1
"38872",39733,7,0,0,0
"38873",39734,10,1,0.1,1
"38874",39735,3,0,0,0
"38875",39736,2,0,0,0
"38876",39737,6,0,0,0
"38877",39738,3,0,0,0
"38878",39739,9,0,0,0
"38879",39740,3,1,0.333333333333333,1
"38880",39741,5,2,0.4,1
"38881",39742,6,0,0,0
"38882",39743,9,0,0,0
"38883",39744,3,1,0.333333333333333,1
"38884",39745,5,0,0,0
"38885",39746,3,0,0,0
"38886",39747,2,0,0,0
"38887",39748,2,0,0,0
"38888",39749,2,0,0,0
"38889",39750,6,3,0.5,1
"38890",39751,3,1,0.333333333333333,1
"38891",39752,2,0,0,0
"38892",39753,2,0,0,0
"38893",39754,6,0,0,0
"38894",39755,3,0,0,0
"38895",39756,1,0,0,0
"38896",39757,9,0,0,0
"38897",39758,5,1,0.2,1
"38898",39759,7,0,0,0
"38899",39760,4,0,0,0
"38900",39761,3,0,0,0
"38901",39762,3,1,0.333333333333333,1
"38902",39763,2,0,0,0
"38903",39764,10,2,0.2,1
"38904",39765,3,0,0,0
"38905",39766,1,0,0,0
"38906",39767,6,0,0,0
"38907",39768,8,1,0.125,1
"38908",39769,4,0,0,0
"38909",39770,2,0,0,0
"38910",39771,7,0,0,0
"38911",39772,1,0,0,0
"38912",39773,10,0,0,0
"38913",39774,2,0,0,0
"38914",39775,9,3,0.333333333333333,1
"38915",39776,3,0,0,0
"38916",39777,9,0,0,0
"38917",39778,2,0,0,0
"38918",39779,10,2,0.2,1
"38919",39780,3,0,0,0
"38920",39781,3,0,0,0
"38921",39782,3,0,0,0
